text,popularity,meaning1,meaning2
sich nur,2561871,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","only, just, merely, simply"
ist nur,2559582,third-person singular present of sein,"only, just, merely, simply"
wir in,2554234,we,"[with dative] in, inside, within, at (inside a building)"
die Arme,2552803,nominative/accusative singular feminine of der,inflection of arm:
ist doch,2550870,third-person singular present of sein,yes; surely; really; on the contrary
sich aber,2550752,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)",but; however; though
würde ich,2544574,dignity,I (first person singular nominative (subject) pronoun)
doch die,2543696,yes; surely; really; on the contrary,nominative/accusative singular feminine of der
du mir,2543185,"you (singular familiar), thou","dative of ich: me, to me"
den Mund,2542661,inflection of der (“the”):,mouth of a person
die Geschichte,2541200,nominative/accusative singular feminine of der,history
würde er,2538435,dignity,he
das sich,2538147,nominative/accusative neuter singular of der: the,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
dem die,2537986,dative masculine/neuter singular of der: the,nominative/accusative singular feminine of der
mit denen,2537613,"with (in the company of, alongside)",dative plural of der
einen Moment,2533911,accusative masculine singular of ein,moment
die ersten,2533674,nominative/accusative singular feminine of der,inflection of erste:
der deutschen,2533213,"nominative masculine singular definite article, the",inflection of deutsch:
mit sich,2531575,"with (in the company of, alongside)","Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
und wieder,2531401,and,again; indicates that the action taking place has happened before
handelt es,2530425,inflection of handeln:,"Refers to a neuter noun (person, animal, thing or abstract)"
auch den,2529356,"also, too, as well (in addition to whatever or whoever has previously been listed)",inflection of der (“the”):
während sie,2528525,while (at the same time as),she; her
und vor,2528372,and,"in front of, ahead of (relative location in space)"
in seine,2523110,"[with dative] in, inside, within, at (inside a building)",inflection of seiner:
zu halten,2520893,"to, towards (indicates directionality)",to hold (an object in one's hands)
er eine,2519660,he,nominative/accusative feminine singular of ein
zum ersten,2517806,"contraction of zu + dem, literally “to the; for the”",inflection of erste:
mehr zu,2517668,something more,"to, towards (indicates directionality)"
sind wir,2516108,first-person plural present of sein,we
welche die,2515929,inflection of welcher:,nominative/accusative singular feminine of der
das Wort,2506262,nominative/accusative neuter singular of der: the,word as an isolated unit
sie nach,2505836,she; her,"after, past (later in time)"
zusammen mit,2505710,"together, jointly","with (in the company of, alongside)"
den er,2503470,inflection of der (“the”):,he
soll ich,2497676,debit,I (first person singular nominative (subject) pronoun)
bei mir,2496141,"by, near","dative of ich: me, to me"
zu ihr,2495439,"to, towards (indicates directionality)","you, ye (plural, familiar)"
ist zu,2494891,third-person singular present of sein,"to, towards (indicates directionality)"
wenn auch,2491507,"when, whenever","also, too, as well (in addition to whatever or whoever has previously been listed)"
worden war,2490556,past participle of werden,first-person singular preterite of sein: was
wäre es,2490326,first/third-person singular subjunctive II of sein,"Refers to a neuter noun (person, animal, thing or abstract)"
ja auch,2487322,initialism of Junge Alternative für Deutschland.,"also, too, as well (in addition to whatever or whoever has previously been listed)"
ihr die,2486682,"you, ye (plural, familiar)",nominative/accusative singular feminine of der
in Richtung,2485628,"[with dative] in, inside, within, at (inside a building)",direction
weil die,2485319,"because, given that",nominative/accusative singular feminine of der
und hatte,2484309,and,first/third-person singular preterite of haben
kann nicht,2482065,first/third-person singular present of können,"not, non- (negates the meaning of a verb, adjective, or adverb)"
konnte er,2479134,first/third-person singular preterite of können,he
wir nicht,2477218,we,"not, non- (negates the meaning of a verb, adjective, or adverb)"
und diese,2477163,and,"nominative feminine singular of dieser; ""this"""
er ihr,2476495,he,"you, ye (plural, familiar)"
den Augen,2475307,inflection of der (“the”):,plural of Auge
es ein,2474802,"Refers to a neuter noun (person, animal, thing or abstract)",one
man in,2472398,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)","[with dative] in, inside, within, at (inside a building)"
damit die,2471009,pronominal adverb of mit,nominative/accusative singular feminine of der
der mit,2469701,"nominative masculine singular definite article, the","with (in the company of, alongside)"
sie als,2468630,she; her,"at (approximately) the same moment, when, while, as"
ich hätte,2468606,I (first person singular nominative (subject) pronoun),first/third-person singular subjunctive II of haben
weil es,2467181,"because, given that","Refers to a neuter noun (person, animal, thing or abstract)"
das die,2467119,nominative/accusative neuter singular of der: the,nominative/accusative singular feminine of der
er noch,2466510,he,"still, yet (up to and including a given time)"
sie für,2464558,she; her,describes an abstract directionality towards a person or matter
so sehr,2464020,"so, such, that",very
mit diesem,2463596,"with (in the company of, alongside)",masculine/neuter dative singular of dieser
die Sonne,2459178,nominative/accusative singular feminine of der,"contraction of so eine (“such a”) (so, ein)"
als wir,2458547,"at (approximately) the same moment, when, while, as",we
von seinem,2454244,from,dative masculine/neuter singular of sein
und deren,2452649,and,inflection of der:
er von,2451455,he,from
die aus,2450591,nominative/accusative singular feminine of der,out
im Vergleich,2449410,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi.",comparison
ich auf,2446912,I (first person singular nominative (subject) pronoun),"[with dative] on, upon (positioned at the top of)"
mir das,2446739,"dative of ich: me, to me",nominative/accusative neuter singular of der: the
den ganzen,2445239,inflection of der (“the”):,inflection of ganz:
während des,2443046,while (at the same time as),genitive masculine/neuter singular of der: the
da er,2442837,there,he
war so,2440842,first-person singular preterite of sein: was,"so, such, that"
nur das,2440454,"only, just, merely, simply",nominative/accusative neuter singular of der: the
um ihn,2440449,about,"accusative of er; him, it (masculine, direct object)."
kommt es,2437466,inflection of kommen:,"Refers to a neuter noun (person, animal, thing or abstract)"
will ich,2436188,first/third-person singular present of wollen,I (first person singular nominative (subject) pronoun)
und einem,2436144,and,dative masculine/neuter singular of ein
der Gesellschaft,2434338,"nominative masculine singular definite article, the",company (presence of other people in general)
in Bezug,2432989,"[with dative] in, inside, within, at (inside a building)",reference
ihn in,2432143,"accusative of er; him, it (masculine, direct object).","[with dative] in, inside, within, at (inside a building)"
hat der,2429368,third-person singular present of haben,"nominative masculine singular definite article, the"
die Entwicklung,2426948,nominative/accusative singular feminine of der,evolution
sie aus,2420630,she; her,out
noch einen,2416651,"still, yet (up to and including a given time)",accusative masculine singular of ein
dass diese,2415874,that,"nominative feminine singular of dieser; ""this"""
und zum,2411706,and,"contraction of zu + dem, literally “to the; for the”"
mit ihrer,2407323,"with (in the company of, alongside)",genitive of sie: of her
man nicht,2404810,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)","not, non- (negates the meaning of a verb, adjective, or adverb)"
ein Mann,2402615,one,"man, male human being"
für uns,2401497,describes an abstract directionality towards a person or matter,accusative/dative of wir: us
zu kommen,2396620,"to, towards (indicates directionality)",to come; to arrive
den Boden,2389926,inflection of der (“the”):,"ground, soil"
sind sie,2389204,first-person plural present of sein,she; her
du mich,2386874,"you (singular familiar), thou",accusative of ich: me
ich konnte,2386009,I (first person singular nominative (subject) pronoun),first/third-person singular preterite of können
sagte der,2385244,inflection of sagen:,"nominative masculine singular definite article, the"
über dem,2382029,"[with accusative or dative] above, over (spatially)",dative masculine/neuter singular of der: the
daß man,2381858,Formerly standard spelling of dass which was deprecated in the spelling reform (Rechtschreibreform) of 1996.,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)"
hinter dem,2380951,"behind, after",dative masculine/neuter singular of der: the
mit anderen,2379180,"with (in the company of, alongside)",inflection of anderer:
auch schon,2374135,"also, too, as well (in addition to whatever or whoever has previously been listed)","already (happening rather early, continuing rather long)"
den Blick,2373113,inflection of der (“the”):,"glance, look"
ich würde,2372452,I (first person singular nominative (subject) pronoun),dignity
ist ja,2369286,third-person singular present of sein,initialism of Junge Alternative für Deutschland.
das erste,2360576,nominative/accusative neuter singular of der: the,first
hätte er,2358218,first/third-person singular subjunctive II of haben,he
dass eine,2357310,that,nominative/accusative feminine singular of ein
Bereich der,2355868,"area, realm, range, scope","nominative masculine singular definite article, the"
er einen,2349192,he,accusative masculine singular of ein
sie wieder,2348875,she; her,again; indicates that the action taking place has happened before
und zog,2348873,and,first/third-person singular preterite of ziehen
der erste,2345755,"nominative masculine singular definite article, the",first
mich auf,2345044,accusative of ich: me,"[with dative] on, upon (positioned at the top of)"
wo die,2344686,where (at what place),nominative/accusative singular feminine of der
eine kleine,2340371,nominative/accusative feminine singular of ein,inflection of klein:
sich dann,2335773,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","then, after that"
die es,2323216,nominative/accusative singular feminine of der,"Refers to a neuter noun (person, animal, thing or abstract)"
den Menschen,2319884,inflection of der (“the”):,accusative/dative/genitive singular of Mensch
mich mit,2318482,accusative of ich: me,"with (in the company of, alongside)"
wir werden,2317840,we,"will, to be going to, forms the future tense"
die drei,2317380,nominative/accusative singular feminine of der,three (numerical value represented by the Arabic numeral 3; or describing a set with three elements)
der Arbeit,2316723,"nominative masculine singular definite article, the","toil, regularly performed work, regularly pursued economic activity, labor, job, employment, occupation"
den Tisch,2316104,inflection of der (“the”):,table (a piece of furniture with a relatively deep surface at roughly waist or knee level); specific uses include:
oder eine,2315676,"Oder (a major river in the Czech Republic, Poland and Germany)",nominative/accusative feminine singular of ein
hier ist,2315504,"here; in this place; refers to an environment one is currently in, or to something within reach",third-person singular present of sein
gewesen war,2315293,past participle of sein: been,first-person singular preterite of sein: was
hatte es,2314694,first/third-person singular preterite of haben,"Refers to a neuter noun (person, animal, thing or abstract)"
wandte sich,2314574,first/third-person singular preterite of wenden,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
sah sie,2310679,first/third-person singular preterite of sehen,she; her
Hinblick auf,2310655,"regard, view","[with dative] on, upon (positioned at the top of)"
kann sich,2302253,first/third-person singular present of können,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
der im,2302128,"nominative masculine singular definite article, the","initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
des Menschen,2301505,genitive masculine/neuter singular of der: the,accusative/dative/genitive singular of Mensch
und nun,2298345,and,"now, at this moment"
am nächsten,2296164,acronym of Anwendungsmanagement,superlative degree of nah
ja nicht,2294331,initialism of Junge Alternative für Deutschland.,"not, non- (negates the meaning of a verb, adjective, or adverb)"
ich dachte,2293804,I (first person singular nominative (subject) pronoun),first/third-person singular preterite of denken
sich so,2293016,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","so, such, that"
drehte sich,2290870,inflection of drehen:,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
es sei,2289859,"Refers to a neuter noun (person, animal, thing or abstract)",first-person singular subjunctive I of sein
der Erde,2285485,"nominative masculine singular definite article, the",earth
mit dieser,2281972,"with (in the company of, alongside)","this one, this"
zur Seite,2277866,"contraction of zu + der, literally “to the (feminine)”",side (a bounding straight edge of a two-dimensional shape)
nur einen,2276919,"only, just, merely, simply",accusative masculine singular of ein
weiß ich,2273505,white,I (first person singular nominative (subject) pronoun)
mit dir,2273482,"with (in the company of, alongside)","dative of du; you, to you."
was du,2272898,what,"you (singular familiar), thou"
dann die,2271260,"then, after that",nominative/accusative singular feminine of der
denen die,2270789,dative plural of der,nominative/accusative singular feminine of der
schüttelte den,2269822,inflection of schütteln:,inflection of der (“the”):
in Ordnung,2269571,"[with dative] in, inside, within, at (inside a building)","arrangement, regulation"
er mir,2268682,he,"dative of ich: me, to me"
nicht für,2266665,"not, non- (negates the meaning of a verb, adjective, or adverb)",describes an abstract directionality towards a person or matter
und doch,2264561,and,yes; surely; really; on the contrary
er konnte,2264297,he,first/third-person singular preterite of können
so ein,2263370,"so, such, that",one
eine weitere,2261759,nominative/accusative feminine singular of ein,inflection of weit:
um und,2260096,about,and
wurde die,2256124,first/third-person singular preterite of werden,nominative/accusative singular feminine of der
Teil des,2253338,"part, piece (of a whole, often in relation to living things or an abstract concept)",genitive masculine/neuter singular of der: the
ich denke,2251984,I (first person singular nominative (subject) pronoun),inflection of denken:
würde sie,2251282,dignity,she; her
ich zu,2249466,I (first person singular nominative (subject) pronoun),"to, towards (indicates directionality)"
hat das,2248817,third-person singular present of haben,nominative/accusative neuter singular of der: the
diese Weise,2247021,"nominative feminine singular of dieser; ""this""","way, manner"
den sie,2246844,inflection of der (“the”):,she; her
ihn mit,2244190,"accusative of er; him, it (masculine, direct object).","with (in the company of, alongside)"
dem er,2241850,dative masculine/neuter singular of der: the,he
bei uns,2240113,"by, near",accusative/dative of wir: us
das Bild,2240063,nominative/accusative neuter singular of der: the,"depiction, image, picture"
die Arbeit,2239620,nominative/accusative singular feminine of der,"toil, regularly performed work, regularly pursued economic activity, labor, job, employment, occupation"
man sie,2237047,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)",she; her
immer mehr,2235167,always,something more
von sich,2234852,from,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
indem sie,2233507,by (indicates a means),she; her
man den,2230459,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)",inflection of der (“the”):
zum anderen,2229369,"contraction of zu + dem, literally “to the; for the”",inflection of anderer:
hatte und,2226776,first/third-person singular preterite of haben,and
sie doch,2226329,she; her,yes; surely; really; on the contrary
weißt du,2226058,second-person singular present of wissen,"you (singular familiar), thou"
die andere,2225584,nominative/accusative singular feminine of der,inflection of anderer
auch immer,2225151,"also, too, as well (in addition to whatever or whoever has previously been listed)",always
was wir,2224379,what,we
nur der,2223901,"only, just, merely, simply","nominative masculine singular definite article, the"
so schnell,2223756,"so, such, that","quick, fast"
meine Mutter,2223294,inflection of meiner:,mother
nicht immer,2222679,"not, non- (negates the meaning of a verb, adjective, or adverb)",always
zwischen der,2220770,between,"nominative masculine singular definite article, the"
sich den,2213940,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)",inflection of der (“the”):
tut mir,2211009,third-person singular present of tun,"dative of ich: me, to me"
zu seinem,2211000,"to, towards (indicates directionality)",dative masculine/neuter singular of sein
fragte sie,2206372,inflection of fragen:,she; her
in ihre,2203300,"[with dative] in, inside, within, at (inside a building)",inflection of ihr:
ersten Mal,2203161,inflection of erste:,times (indicating multiplication of two numbers)
da war,2202031,there,first-person singular preterite of sein: was
eine Frau,2194819,nominative/accusative feminine singular of ein,woman (adult female human)
er an,2193459,he,"on, upon, at, in, against"
zu hören,2192736,"to, towards (indicates directionality)",to hear (to perceive sounds (or a sound) through the ear)
gar nichts,2187462,"cooked, done (of food such as meat or vegetables: ready for consumption)",nothing
Zusammenhang mit,2186913,"coherence, cohesion","with (in the company of, alongside)"
noch etwas,2186621,"still, yet (up to and including a given time)",something
haben sie,2186258,forms the perfect aspect (have),she; her
das kann,2185957,nominative/accusative neuter singular of der: the,first/third-person singular present of können
Umgang mit,2183286,"dealings, (social) intercourse","with (in the company of, alongside)"
fühlte sich,2182702,inflection of fühlen:,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
zu sprechen,2182567,"to, towards (indicates directionality)","to speak (some language, the truth, etc.)"
du es,2179418,"you (singular familiar), thou","Refers to a neuter noun (person, animal, thing or abstract)"
oder ein,2176403,"Oder (a major river in the Czech Republic, Poland and Germany)",one
für seine,2175967,describes an abstract directionality towards a person or matter,inflection of seiner:
du kannst,2175243,"you (singular familiar), thou",second-person singular present of können
konnte ich,2175153,first/third-person singular preterite of können,I (first person singular nominative (subject) pronoun)
da ist,2172575,there,third-person singular present of sein
und nur,2160893,and,"only, just, merely, simply"
so wird,2160106,"so, such, that",third-person singular present of werden
in meiner,2152647,"[with dative] in, inside, within, at (inside a building)",mine (substantival possessive)
für dich,2152621,describes an abstract directionality towards a person or matter,"accusative of du; you, thee (direct object)."
es um,2151236,"Refers to a neuter noun (person, animal, thing or abstract)",about
zum einen,2151101,"contraction of zu + dem, literally “to the; for the”",accusative masculine singular of ein
das ganze,2148688,nominative/accusative neuter singular of der: the,inflection of ganz:
denn sie,2147891,for; because; since,she; her
sie hatten,2146846,she; her,first/third-person plural preterite of haben
und noch,2143967,and,"still, yet (up to and including a given time)"
daß das,2142859,Formerly standard spelling of dass which was deprecated in the spelling reform (Rechtschreibreform) of 1996.,nominative/accusative neuter singular of der: the
ein kleines,2142087,one,strong/mixed nominative/accusative neuter singular of klein
er wird,2140153,he,third-person singular present of werden
werden in,2139829,"will, to be going to, forms the future tense","[with dative] in, inside, within, at (inside a building)"
sie schon,2138707,she; her,"already (happening rather early, continuing rather long)"
sind nicht,2131532,first-person plural present of sein,"not, non- (negates the meaning of a verb, adjective, or adverb)"
zu viel,2130892,"to, towards (indicates directionality)","much, a lot"
das Gesicht,2130678,nominative/accusative neuter singular of der: the,face
zeigt sich,2129397,inflection of zeigen:,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
im Hinblick,2127706,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi.","regard, view"
denn er,2127524,for; because; since,he
sie dann,2126278,she; her,"then, after that"
bis auf,2125860,until,"[with dative] on, upon (positioned at the top of)"
haben sich,2124751,forms the perfect aspect (have),"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
wie möglich,2124012,how,possible (what can be done or achieved)
schon in,2122422,"already (happening rather early, continuing rather long)","[with dative] in, inside, within, at (inside a building)"
nichts zu,2122393,nothing,"to, towards (indicates directionality)"
dem sie,2120887,dative masculine/neuter singular of der: the,she; her
mir zu,2118732,"dative of ich: me, to me","to, towards (indicates directionality)"
die Mutter,2118105,nominative/accusative singular feminine of der,mother
überhaupt nicht,2117119,"overall, in general","not, non- (negates the meaning of a verb, adjective, or adverb)"
es ihr,2116263,"Refers to a neuter noun (person, animal, thing or abstract)","you, ye (plural, familiar)"
schon wieder,2113704,"already (happening rather early, continuing rather long)",again; indicates that the action taking place has happened before
und über,2112592,and,"[with accusative or dative] above, over (spatially)"
ob ich,2110170,"Introduces an indirect question, a doubt. if, whether.",I (first person singular nominative (subject) pronoun)
auf einmal,2108509,"[with dative] on, upon (positioned at the top of)","once, one time (one and only one time)"
eine gute,2106451,nominative/accusative feminine singular of ein,inflection of gut:
zu erreichen,2103635,"to, towards (indicates directionality)",to reach (to attain by stretching)
sein und,2103586,forms the present perfect and past perfect tenses of certain verbs,and
alles in,2098249,everything; all,"[with dative] in, inside, within, at (inside a building)"
es sind,2096879,"Refers to a neuter noun (person, animal, thing or abstract)",first-person plural present of sein
und somit,2093119,and,"therefore, hence, thus"
wird er,2089407,third-person singular present of werden,he
werden wir,2089313,"will, to be going to, forms the future tense",we
der Begriff,2088436,"nominative masculine singular definite article, the","term, word"
als wäre,2085220,"at (approximately) the same moment, when, while, as",first/third-person singular subjunctive II of sein
es im,2083895,"Refers to a neuter noun (person, animal, thing or abstract)","initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
ich ihm,2083333,I (first person singular nominative (subject) pronoun),"dative of er; him, to him (indirect object); for him (in some cases)."
nicht den,2082784,"not, non- (negates the meaning of a verb, adjective, or adverb)",inflection of der (“the”):
eine Weile,2080887,nominative/accusative feminine singular of ein,"while (uncertain duration of time, period of time)"
dich nicht,2078764,"accusative of du; you, thee (direct object).","not, non- (negates the meaning of a verb, adjective, or adverb)"
man das,2078477,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)",nominative/accusative neuter singular of der: the
die Wahrheit,2077948,nominative/accusative singular feminine of der,truth
bei denen,2077274,"by, near",dative plural of der
für ihre,2075621,describes an abstract directionality towards a person or matter,inflection of ihr:
es wäre,2071984,"Refers to a neuter noun (person, animal, thing or abstract)",first/third-person singular subjunctive II of sein
sie bei,2071323,she; her,"by, near"
aus diesem,2069011,out,masculine/neuter dative singular of dieser
der einen,2068374,"nominative masculine singular definite article, the",accusative masculine singular of ein
der Schule,2066697,"nominative masculine singular definite article, the",school (an institution dedicated to teaching and learning (especially before university); department/institute at a college or university; art movement; followers of a particular doctrine)
ein Stück,2066514,one,"one, item, piece, unit(of something countable; often untranslated in English)"
der letzten,2066085,"nominative masculine singular definite article, the",inflection of letzter:
und aus,2063333,and,out
ich ein,2062728,I (first person singular nominative (subject) pronoun),one
das mit,2062152,nominative/accusative neuter singular of der: the,"with (in the company of, alongside)"
die an,2061843,nominative/accusative singular feminine of der,"on, upon, at, in, against"
es auf,2060515,"Refers to a neuter noun (person, animal, thing or abstract)","[with dative] on, upon (positioned at the top of)"
muss ich,2056651,first/third-person singular present of müssen,I (first person singular nominative (subject) pronoun)
das er,2052645,nominative/accusative neuter singular of der: the,he
hatten sie,2051400,first/third-person plural preterite of haben,she; her
ebenso wie,2050865,"equally, as much",how
der Natur,2050207,"nominative masculine singular definite article, the",nature (the natural world)
ist mir,2049163,third-person singular present of sein,"dative of ich: me, to me"
nicht um,2047183,"not, non- (negates the meaning of a verb, adjective, or adverb)",about
dann ist,2042601,"then, after that",third-person singular present of sein
anders als,2041493,"different, differently","at (approximately) the same moment, when, while, as"
es doch,2040574,"Refers to a neuter noun (person, animal, thing or abstract)",yes; surely; really; on the contrary
das sie,2039525,nominative/accusative neuter singular of der: the,she; her
sah er,2038614,first/third-person singular preterite of sehen,he
um mich,2037568,about,accusative of ich: me
bis sie,2036779,until,she; her
bei ihm,2034305,"by, near","dative of er; him, to him (indirect object); for him (in some cases)."
vor ihm,2032910,"in front of, ahead of (relative location in space)","dative of er; him, to him (indirect object); for him (in some cases)."
so kann,2027755,"so, such, that",first/third-person singular present of können
die nach,2026539,nominative/accusative singular feminine of der,"after, past (later in time)"
der Nacht,2023179,"nominative masculine singular definite article, the",night
wird durch,2022111,third-person singular present of werden,by means of; by; through
noch zu,2020191,"still, yet (up to and including a given time)","to, towards (indicates directionality)"
in jedem,2019396,"[with dative] in, inside, within, at (inside a building)",masculine dative singular of jeder
über einen,2018326,"[with accusative or dative] above, over (spatially)",accusative masculine singular of ein
und ihn,2018291,and,"accusative of er; him, it (masculine, direct object)."
ist so,2017565,third-person singular present of sein,"so, such, that"
wollte er,2015669,inflection of wollen:,he
als in,2014622,"at (approximately) the same moment, when, while, as","[with dative] in, inside, within, at (inside a building)"
mein Vater,2012852,my,father
bevor er,2009397,before,he
zu sich,2009269,"to, towards (indicates directionality)","Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
konnte sie,2008352,first/third-person singular preterite of können,she; her
diesem Fall,2007176,masculine/neuter dative singular of dieser,singular imperative of fallen
und zur,2005218,and,"contraction of zu + der, literally “to the (feminine)”"
und mich,2004076,and,accusative of ich: me
nicht viel,2004049,"not, non- (negates the meaning of a verb, adjective, or adverb)","much, a lot"
und hat,2003098,and,third-person singular present of haben
wir können,2002490,we,"to be able (to do or be something), to have the possibility of, can."
wenn sich,1999411,"when, whenever","Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
als hätte,1998526,"at (approximately) the same moment, when, while, as",first/third-person singular subjunctive II of haben
der eine,1995606,"nominative masculine singular definite article, the",nominative/accusative feminine singular of ein
an einen,1993363,"on, upon, at, in, against",accusative masculine singular of ein
und andere,1991210,and,inflection of anderer
wie du,1990740,how,"you (singular familiar), thou"
der Straße,1986150,"nominative masculine singular definite article, the","street; road (a way wide enough to be passable for vehicles, generally paved, in or outside a settlement)"
hier in,1984606,"here; in this place; refers to an environment one is currently in, or to something within reach","[with dative] in, inside, within, at (inside a building)"
den ich,1981662,inflection of der (“the”):,I (first person singular nominative (subject) pronoun)
ist im,1980638,third-person singular present of sein,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
und wird,1980216,and,third-person singular present of werden
wird von,1979593,third-person singular present of werden,from
ihm nicht,1979308,"dative of er; him, to him (indirect object); for him (in some cases).","not, non- (negates the meaning of a verb, adjective, or adverb)"
sie uns,1978261,she; her,accusative/dative of wir: us
Augen und,1973271,plural of Auge,and
da es,1972283,there,"Refers to a neuter noun (person, animal, thing or abstract)"
im Jahre,1972101,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi.","nominative/accusative/genitive plural of Jahr ""years"""
kann der,1970089,first/third-person singular present of können,"nominative masculine singular definite article, the"
das Wasser,1970047,nominative/accusative neuter singular of der: the,water (H₂O)
auf sich,1969971,"[with dative] on, upon (positioned at the top of)","Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
nach unten,1966884,"after, past (later in time)",below
die einzelnen,1965265,nominative/accusative singular feminine of der,inflection of einzeln:
aber nur,1965203,but; however; though,"only, just, merely, simply"
er im,1964400,he,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
und alle,1959896,and,inflection of all (“all”)
das Problem,1959364,nominative/accusative neuter singular of der: the,problem
ging es,1957934,first/third-person singular preterite of gehen,"Refers to a neuter noun (person, animal, thing or abstract)"
du wirst,1956996,"you (singular familiar), thou",second-person singular present of werden
anderen Seite,1955810,inflection of anderer:,side (a bounding straight edge of a two-dimensional shape)
der Mitte,1954885,"nominative masculine singular definite article, the",middle
war auch,1954613,first-person singular preterite of sein: was,"also, too, as well (in addition to whatever or whoever has previously been listed)"
die bei,1953729,nominative/accusative singular feminine of der,"by, near"
keine Ahnung,1951447,feminine nominative/accusative of kein,"anticipation, inkling"
mit ihnen,1951284,"with (in the company of, alongside)","dative of sie; them, to them."
im Laufe,1951281,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi.",inflection of laufen:
in ihm,1950411,"[with dative] in, inside, within, at (inside a building)","dative of er; him, to him (indirect object); for him (in some cases)."
des Lebens,1950233,genitive masculine/neuter singular of der: the,genitive singular of Leben
die Bedeutung,1949571,nominative/accusative singular feminine of der,"meaning, sense"
selbst wenn,1943590,"personally, by oneself","when, whenever"
Hand und,1942544,hand,and
hatte das,1940734,first/third-person singular preterite of haben,nominative/accusative neuter singular of der: the
das Mädchen,1939456,nominative/accusative neuter singular of der: the,girl
der Praxis,1939403,"nominative masculine singular definite article, the","practice, experience"
die ihm,1939224,nominative/accusative singular feminine of der,"dative of er; him, to him (indirect object); for him (in some cases)."
dieser Stelle,1939066,"this one, this","location, spot (specific location in space, relevant in context but typically otherwise unmarked)"
mir ein,1936626,"dative of ich: me, to me",one
sie sah,1935738,she; her,first/third-person singular preterite of sehen
das zu,1935378,nominative/accusative neuter singular of der: the,"to, towards (indicates directionality)"
unter anderem,1934695,under,strong dative masculine/neuter singular of anderer
dass ihr,1934635,that,"you, ye (plural, familiar)"
gewesen sein,1932732,past participle of sein: been,forms the present perfect and past perfect tenses of certain verbs
es bei,1931603,"Refers to a neuter noun (person, animal, thing or abstract)","by, near"
wenn ein,1929844,"when, whenever",one
der Geschichte,1927333,"nominative masculine singular definite article, the",history
einem anderen,1925723,dative masculine/neuter singular of ein,inflection of anderer:
hier nicht,1925609,"here; in this place; refers to an environment one is currently in, or to something within reach","not, non- (negates the meaning of a verb, adjective, or adverb)"
Gegensatz zu,1923173,"opposition, antagonism","to, towards (indicates directionality)"
ihr zu,1922576,"you, ye (plural, familiar)","to, towards (indicates directionality)"
